ID;date;subj.id;age;sex;condition;order;study_order;session;trial;correct;rewarded
86;06.06.21;Pasa;21;f;control;testfirst;study3first;1;2;no;no
87;06.06.21;Pasa;21;f;control;testfirst;study3first;1;3;no;no
88;06.06.21;Pasa;21;f;control;testfirst;study3first;1;4;no;no
89;06.06.21;Pasa;21;f;control;testfirst;study3first;1;5;no;no
90;06.06.21;Pasa;21;f;control;testfirst;study3first;1;6;yes;yes
91;07.06.21;Pasa;21;f;control;testfirst;study3first;2;7;no;no
92;07.06.21;Pasa;21;f;control;testfirst;study3first;2;8;no;no
93;07.06.21;Pasa;21;f;control;testfirst;study3first;2;9;yes;yes
94;07.06.21;Pasa;21;f;control;testfirst;study3first;2;10;no;no
95;07.06.21;Pasa;21;f;control;testfirst;study3first;2;11;no;no
96;07.06.21;Pasa;21;f;control;testfirst;study3first;2;12;no;yes
97;08.06.21;Asega;23;m;control;controlfirst;study4first;1;1;no;no
98;08.06.21;Asega;23;m;control;controlfirst;study4first;1;2;yes;yes
99;08.06.21;Asega;23;m;control;controlfirst;study4first;1;3;no;no
100;08.06.21;Asega;23;m;control;controlfirst;study4first;1;4;no;no
101;08.06.21;Asega;23;m;control;controlfirst;study4first;1;5;yes;yes
102;08.06.21;Asega;23;m;control;controlfirst;study4first;1;6;no;no
103;09.06.21;Asega;23;m;control;controlfirst;study4first;2;7;no;no
104;09.06.21;Asega;23;m;control;controlfirst;study4first;2;8;no;yes
105;09.06.21;Asega;23;m;control;controlfirst;study4first;2;9;yes;yes
106;09.06.21;Asega;23;m;control;controlfirst;study4first;2;10;no;yes
107;09.06.21;Asega;23;m;control;controlfirst;study4first;2;11;yes;yes
108;09.06.21;Asega;23;m;control;controlfirst;study4first;2;12;no;no
109;10.06.21;Asega;23;m;test;controlfirst;study4first;1;1;no;yes
110;10.06.21;Asega;23;m;test;controlfirst;study4first;1;2;yes;yes
111;10.06.21;Asega;23;m;test;controlfirst;study4first;1;3;no;no
112;10.06.21;Asega;23;m;test;controlfirst;study4first;1;4;no;no
113;10.06.21;Asega;23;m;test;controlfirst;study4first;1;5;yes;yes
114;10.06.21;Asega;23;m;test;controlfirst;study4first;1;6;yes;yes
115;11.06.21;Asega;23;m;test;controlfirst;study4first;2;7;no;no
116;11.06.21;Asega;23;m;test;controlfirst;study4first;2;8;no;no
117;11.06.21;Asega;23;m;test;controlfirst;study4first;2;9;no;no
118;11.06.21;Asega;23;m;test;controlfirst;study4first;2;10;yes;yes
119;11.06.21;Asega;23;m;test;controlfirst;study4first;2;11;yes;yes
120;11.06.21;Asega;23;m;test;controlfirst;study4first;2;12;yes;yes
121;08.06.21;Okech;22;m;control;controlfirst;study4first;1;1;no;yes
122;08.06.21;Okech;22;m;control;controlfirst;study4first;1;2;no;yes
123;08.06.21;Okech;22;m;control;controlfirst;study4first;1;3;yes;yes
124;08.06.21;Okech;22;m;control;controlfirst;study4first;1;4;yes;yes
125;08.06.21;Okech;22;m;control;controlfirst;study4first;1;5;yes;yes
126;08.06.21;Okech;22;m;control;controlfirst;study4first;1;6;no;no
127;09.06.21;Okech;22;m;control;controlfirst;study4first;2;7;no;no
128;09.06.21;Okech;22;m;control;controlfirst;study4first;2;8;yes;yes
129;09.06.21;Okech;22;m;control;controlfirst;study4first;2;9;no;no
130;09.06.21;Okech;22;m;control;controlfirst;study4first;2;10;yes;yes
131;09.06.21;Okech;22;m;control;controlfirst;study4first;2;11;no;yes
132;09.06.21;Okech;22;m;control;controlfirst;study4first;2;12;yes;yes
133;10.06.21;Okech;22;m;test;controlfirst;study4first;1;1;yes;yes
134;10.06.21;Okech;22;m;test;controlfirst;study4first;1;2;no;yes
135;10.06.21;Okech;22;m;test;controlfirst;study4first;1;3;no;no
136;10.06.21;Okech;22;m;test;controlfirst;study4first;1;4;yes;yes
137;10.06.21;Okech;22;m;test;controlfirst;study4first;1;5;no;yes
138;10.06.21;Okech;22;m;test;controlfirst;study4first;1;6;no;yes
139;11.06.21;Okech;22;m;test;controlfirst;study4first;2;7;yes;yes
140;11.06.21;Okech;22;m;test;controlfirst;study4first;2;8;yes;yes
141;11.06.21;Okech;22;m;test;controlfirst;study4first;2;9;yes;yes
142;11.06.21;Okech;22;m;test;controlfirst;study4first;2;10;yes;yes
143;11.06.21;Okech;22;m;test;controlfirst;study4first;2;11;yes;yes
144;11.06.21;Okech;22;m;test;controlfirst;study4first;2;12;yes;yes
145;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;1;no;yes
146;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;2;yes;yes
147;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;3;no;no
148;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;4;yes;yes
149;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;5;no;no
150;08.06.21;Namukisa;22;f;control;controlfirst;study4first;1;6;no;no
151;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;7;no;yes
152;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;8;no;yes
153;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;9;yes;yes
154;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;10;no;no
155;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;11;no;no
156;09.06.21;Namukisa;22;f;control;controlfirst;study4first;2;12;no;no
157;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;1;yes;yes
158;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;2;yes;yes
159;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;3;yes;yes
160;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;4;no;yes
161;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;5;no;no
162;10.06.21;Namukisa;22;f;test;controlfirst;study4first;1;6;yes;yes
163;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;7;no;no
164;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;8;no;no
165;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;9;yes;yes
166;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;10;no;no
167;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;11;no;yes
168;11.06.21;Namukisa;22;f;test;controlfirst;study4first;2;12;no;yes
169;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;1;no;yes
170;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;2;no;no
171;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;3;yes;yes
172;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;4;yes;yes
173;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;5;yes;yes
174;16.06.16;Baluku;23;m;control;controlfirst;study3first;1;6;no;no
175;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;1;no;yes
176;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;2;no;no
177;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;3;no;yes
178;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;4;no;no
179;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;5;yes;yes
180;16.06.16;Bwambale;21;m;control;controlfirst;study3first;1;6;no;no
181;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;1;no;no
182;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;2;yes;yes
183;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;3;no;yes
184;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;4;yes;yes
185;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;5;no;yes
186;16.06.16;Cocoa;14;f;control;controlfirst;study3first;1;6;yes;yes
187;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;7;yes;yes
188;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;8;no;no
189;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;9;no;no
190;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;10;no;yes
191;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;11;yes;yes
192;17.06.21;Baluku;23;m;control;controlfirst;study3first;2;12;yes;yes
193;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;7;no;no
194;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;8;no;no
195;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;9;no;no
196;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;10;no;no
197;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;11;yes;yes
198;17.06.21;Bwambale;21;m;control;controlfirst;study3first;2;12;no;yes
199;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;7;yes;yes
200;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;8;no;no
201;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;9;yes;yes
202;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;10;no;no
203;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;11;no;yes
204;17.06.21;Cocoa;14;f;control;controlfirst;study3first;2;12;no;yes
205;17.06.21;Indi;22;m;control;controlfirst;study3first;1;1;yes;yes
206;17.06.21;Indi;22;m;control;controlfirst;study3first;1;2;no;no
207;17.06.21;Indi;22;m;control;controlfirst;study3first;1;3;yes;yes
208;17.06.21;Indi;22;m;control;controlfirst;study3first;1;4;no;yes
209;17.06.21;Indi;22;m;control;controlfirst;study3first;1;5;no;no
210;17.06.21;Indi;22;m;control;controlfirst;study3first;1;6;no;no
211;18.06.21;Indi;22;m;control;controlfirst;study3first;2;7;no;no
212;18.06.21;Indi;22;m;control;controlfirst;study3first;2;8;yes;yes
213;18.06.21;Indi;22;m;control;controlfirst;study3first;2;9;no;yes
214;18.06.21;Indi;22;m;control;controlfirst;study3first;2;10;yes;yes
215;18.06.21;Indi;22;m;control;controlfirst;study3first;2;11;no;no
216;18.06.21;Indi;22;m;control;controlfirst;study3first;2;12;no;yes
217;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;1;no;yes
218;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;2;yes;yes
219;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;3;no;yes
220;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;4;no;no
221;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;5;no;no
222;18.06.21;Baluku;23;m;test;controlfirst;study3first;1;6;yes;yes
223;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;1;yes;yes
224;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;2;yes;yes
225;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;3;no;no
226;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;4;yes;yes
227;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;5;no;yes
228;18.06.21;Bwambale;21;m;test;controlfirst;study3first;1;6;yes;yes
229;19.06.21;Indi;22;m;test;controlfirst;study3first;1;1;no;yes
230;19.06.21;Indi;22;m;test;controlfirst;study3first;1;2;yes;yes
231;19.06.21;Indi;22;m;test;controlfirst;study3first;1;3;yes;yes
232;19.06.21;Indi;22;m;test;controlfirst;study3first;1;4;yes;yes
233;19.06.21;Indi;22;m;test;controlfirst;study3first;1;5;yes;yes
234;19.06.21;Indi;22;m;test;controlfirst;study3first;1;6;yes;yes
235;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;7;yes;yes
236;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;8;yes;yes
237;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;9;no;yes
238;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;10;yes;yes
239;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;11;no;no
240;19.06.21;Baluku;23;m;test;controlfirst;study3first;2;12;yes;yes
241;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;7;no;yes
242;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;8;yes;yes
243;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;9;yes;yes
244;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;10;yes;yes
245;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;11;no;no
246;19.06.21;Bwambale;21;m;test;controlfirst;study3first;2;12;yes;yes
247;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;1;yes;yes
248;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;2;yes;yes
249;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;3;no;yes
250;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;4;no;no
251;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;5;no;no
252;19.06.21;Cocoa;14;f;test;controlfirst;study3first;1;6;yes;yes
253;20.06.21;Indi;22;m;test;controlfirst;study3first;2;7;yes;yes
254;20.06.21;Indi;22;m;test;controlfirst;study3first;2;8;yes;yes
255;20.06.21;Indi;22;m;test;controlfirst;study3first;2;9;yes;yes
256;20.06.21;Indi;22;m;test;controlfirst;study3first;2;10;yes;yes
257;20.06.21;Indi;22;m;test;controlfirst;study3first;2;11;yes;yes
258;20.06.21;Indi;22;m;test;controlfirst;study3first;2;12;yes;yes
259;20.06.21;Sally;30;f;test;testfirst;study4first;1;1;yes;yes
260;20.06.21;Sally;30;f;test;testfirst;study4first;1;2;no;yes
261;20.06.21;Sally;30;f;test;testfirst;study4first;1;3;no;no
262;20.06.21;Sally;30;f;test;testfirst;study4first;1;4;no;no
263;20.06.21;Sally;30;f;test;testfirst;study4first;1;5;no;no
264;20.06.21;Sally;30;f;test;testfirst;study4first;1;6;yes;yes
265;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;1;yes;yes
266;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;2;yes;yes
267;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;3;no;no
268;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;4;yes;yes
269;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;5;no;yes
270;20.06.21;Nkuumwa;25;f;test;testfirst;study4first;1;6;no;no
271;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;7;no;no
272;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;8;yes;yes
273;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;9;yes;yes
274;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;10;no;no
275;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;11;yes;yes
276;20.06.21;Cocoa;14;f;test;controlfirst;study3first;2;12;no;yes
277;21.06.21;Sally;30;f;test;testfirst;study4first;2;7;yes;yes
278;21.06.21;Sally;30;f;test;testfirst;study4first;2;8;no;yes
279;21.06.21;Sally;30;f;test;testfirst;study4first;2;9;no;no
280;21.06.21;Sally;30;f;test;testfirst;study4first;2;10;yes;yes
281;21.06.21;Sally;30;f;test;testfirst;study4first;2;11;no;yes
282;21.06.21;Sally;30;f;test;testfirst;study4first;2;12;yes;yes
283;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;7;yes;yes
284;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;8;no;no
285;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;9;no;yes
286;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;10;yes;yes
287;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;11;no;no
288;21.06.21;Nkuumwa;25;f;test;testfirst;study4first;2;12;yes;yes
289;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;1;yes;yes
290;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;2;no;no
291;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;3;no;yes
292;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;4;yes;yes
293;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;5;no;yes
294;21.06.21;Nakuu;20;f;test;testfirst;study4first;1;6;no;yes
295;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;7;no;no
296;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;8;no;no
297;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;9;yes;yes
298;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;10;yes;yes
299;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;11;no;no
300;22.06.21;Nakuu;20;f;test;testfirst;study4first;2;12;no;no
301;22.06.21;Sally;30;f;control;testfirst;study4first;1;1;no;yes
302;22.06.21;Sally;30;f;control;testfirst;study4first;1;2;no;yes
303;22.06.21;Sally;30;f;control;testfirst;study4first;1;3;no;no
304;22.06.21;Sally;30;f;control;testfirst;study4first;1;4;no;yes
305;22.06.21;Sally;30;f;control;testfirst;study4first;1;5;no;no
306;22.06.21;Sally;30;f;control;testfirst;study4first;1;6;no;yes
307;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;1;no;yes
308;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;2;yes;yes
309;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;3;no;no
310;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;4;no;no
311;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;5;no;yes
312;22.06.21;Nkuumwa;25;f;control;testfirst;study4first;1;6;yes;yes
313;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;1;no;no
314;23.06.21;Nakuu;20;f;control;testfirst;study4first;1;2;no;yes
