ID;date;subj.id;age;sex;condition;test_order;order;session;trial;other_pair;rewarded;experiment
40;06.06.21;Asega;23;m;control;testfirst;study4first;1;4;yes;yes;study4
40;05.06.21;Pasa;21;f;test;testfirst;study3first;2;10;no;yes;study3
41;06.06.21;Asega;23;m;control;testfirst;study4first;1;5;no;yes;study4
41;05.06.21;Pasa;21;f;test;testfirst;study3first;2;11;no;yes;study3
42;06.06.21;Asega;23;m;control;testfirst;study4first;1;6;yes;no;study4
42;05.06.21;Pasa;21;f;test;testfirst;study3first;2;12;no;yes;study3
43;07.06.21;Asega;23;m;control;testfirst;study4first;2;7;yes;yes;study4
43;05.06.21;Kalema;25;m;test;testfirst;study3first;2;7;yes;yes;study3
44;07.06.21;Asega;23;m;control;testfirst;study4first;2;8;no;no;study4
44;05.06.21;Kalema;25;m;test;testfirst;study3first;2;8;yes;yes;study3
45;07.06.21;Asega;23;m;control;testfirst;study4first;2;9;yes;no;study4
45;05.06.21;Kalema;25;m;test;testfirst;study3first;2;9;yes;yes;study3
46;07.06.21;Asega;23;m;control;testfirst;study4first;2;10;yes;yes;study4
46;05.06.21;Kalema;25;m;test;testfirst;study3first;2;10;yes;no;study3
47;07.06.21;Asega;23;m;control;testfirst;study4first;2;11;yes;no;study4
47;05.06.21;Kalema;25;m;test;testfirst;study3first;2;11;yes;no;study3
48;07.06.21;Asega;23;m;control;testfirst;study4first;1;12;yes;no;study4
48;05.06.21;Kalema;25;m;test;testfirst;study3first;2;12;no;yes;study3
49;06.06.21;Okech;22;m;control;testfirst;study4first;1;1;no;no;study4
49;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;1;yes;yes;study3
50;06.06.21;Okech;22;m;control;testfirst;study4first;1;2;no;no;study4
50;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;2;yes;yes;study3
51;06.06.21;Okech;22;m;control;testfirst;study4first;1;3;yes;no;study4
51;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;3;yes;no;study3
52;06.06.21;Okech;22;m;control;testfirst;study4first;1;4;yes;no;study4
52;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;4;yes;yes;study3
53;06.06.21;Okech;22;m;control;testfirst;study4first;1;5;yes;yes;study4
53;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;5;yes;no;study3
54;06.06.21;Okech;22;m;control;testfirst;study4first;1;6;yes;no;study4
54;06.06.21;Yoyo;23;f;control;testfirst;study3first;1;6;no;yes;study3
